element1,element2,buckingham_A,buckingham_rho,buckingham_C,epsilon_r,cutoff,bond_model,morse_D,morse_alpha,morse_r0
Ga,N,,,,10.0,6.0,morse,5.0,2.5,1.95
Ga,Ga,3000.0,0.30,0.0,10.0,5.0,,,,,
N,N,10000.0,0.18,35.0,10.0,5.0,,,,,
